ID;RegioS;Perioden;Mannen_2;Vrouwen_3;TotaalMetMigratieachtergrond_35;Bevolkingsdichtheid_57;Koopwoningen_94;Huurwoningen_95;EigendomOnbekend_96;TotaalAantalBanen_112;ParticuliereHuishoudensExclStudenten_121;TypeEenpersoonshuishouden_133;TypeEenoudergezin_134;TypePaarZonderKind_135;TypePaarMetKindEren_136;BronInkomenAlsWerknemer_137;BronInkomenAlsZelfstandige_138;Werkloosheid_155
14442;GM0269;2017JJ00;11736;11520;1237;238;    68.3;    30.2;     1.5;     7.4;     8.9;    22.6;    24.8;    29.6;    30.4;    29.6;    37.7;360
14443;GM0269;2018JJ00;11821;11683;1321;241;    68.8;    30.0;     1.2;     7.6;     9.1;    23.0;    24.6;    29.7;    30.9;    29.9;    38.7;290
14444;GM0269;2019JJ00;11864;11734;1397;242;    68.2;    31.5;     0.3;     7.9;     9.1;    24.3;    26.4;    32.7;    33.5;    31.4;    45.5;220
14470;GM0173;2017JJ00;15886;16120;4934;1485;    60.0;    38.1;     1.9;    17.6;    13.8;    23.4;    22.9;    31.3;    32.6;    30.5;    42.6;630
14471;GM0173;2018JJ00;15812;16103;4970;1481;    61.3;    37.4;     1.2;    18.2;    13.8;    23.8;    23.3;    31.1;    34.1;    30.7;    44.9;480
14472;GM0173;2019JJ00;15788;16052;4970;1477;    61.7;    38.2;     0.1;    19.1;    13.9;    25.3;    25.5;    34.4;    37.7;    32.1;    62.3;420
14498;GM0174;2017JJ00;;;;;;;;;;;;;;;;
14499;GM0174;2018JJ00;;;;;;;;;;;;;;;;
14500;GM0174;2019JJ00;;;;;;;;;;;;;;;;
14526;GM1773;2017JJ00;9071;8886;1373;158;    66.7;    31.8;     1.5;     4.8;     7.3;    23.4;    24.6;    32.0;    32.9;    31.3;    41.4;300
14527;GM1773;2018JJ00;9114;8909;1434;158;    67.9;    31.8;     0.3;     4.8;     7.4;    24.7;    25.7;    31.9;    32.8;    31.7;    42.6;250
14528;GM1773;2019JJ00;9145;8926;1435;159;    68.8;    31.0;     0.1;     5.0;     7.5;    25.6;    26.8;    34.0;    35.7;    33.3;    47.4;240
14554;GM0175;2017JJ00;8855;8676;1298;97;    68.6;    30.6;     0.8;     6.3;     7.1;    24.8;    24.6;    33.6;    32.0;    30.6;    40.1;290
14555;GM0175;2018JJ00;8884;8746;1286;98;    70.4;    28.9;     0.7;     6.5;     7.2;    25.0;    25.7;    32.4;    32.4;    30.9;    42.2;220
14556;GM0175;2019JJ00;9002;8811;1344;99;    70.0;    29.5;     0.4;     6.8;     7.3;    26.6;    26.1;    35.6;    34.9;    32.3;    48.6;200
14582;GM0881;2017JJ00;3954;3911;1587;372;    72.1;    27.0;     0.9;     0.7;     3.5;    22.9;    23.9;    30.5;    31.1;    31.4;    34.7;120
14583;GM0881;2018JJ00;3962;3895;1573;372;    72.5;    26.8;     0.7;     0.6;     3.5;    23.6;    23.9;    30.4;    31.8;    31.9;    35.9;100
14584;GM0881;2019JJ00;;;;;;;;;;;;;;;;
14610;GM1586;2017JJ00;14997;14637;2469;270;    72.6;    27.2;     0.2;    14.8;    12.2;    25.2;    25.1;    32.0;    33.1;    31.3;    46.1;400
14611;GM1586;2018JJ00;15024;14648;2483;270;    74.2;    25.6;     0.1;    16.0;    12.2;    25.0;    31.3;    32.4;    33.7;    31.7;    50.6;310
14612;GM1586;2019JJ00;15065;14639;2481;270;    74.6;    25.4;     0.0;    16.0;    12.3;    27.0;    27.7;    36.1;    37.2;    33.1;    57.1;270
14638;GM0825;2017JJ00;;;;;;;;;;;;;;;;
14639;GM0825;2018JJ00;;;;;;;;;;;;;;;;
14640;GM0825;2019JJ00;;;;;;;;;;;;;;;;
14666;GM0692;2017JJ00;;;;;;;;;;;;;;;;
14667;GM0692;2018JJ00;;;;;;;;;;;;;;;;
14668;GM0692;2019JJ00;;;;;;;;;;;;;;;;
14694;GM0123;2017JJ00;;;;;;;;;;;;;;;;
14695;GM0123;2018JJ00;;;;;;;;;;;;;;;;
